Sign Name,Confidence,Bounding Box
Red Light,0.30,"[[274.9159851074219, 202.95477294921875, 280.613525390625, 225.65892028808594]]"
Red Light,0.25,"[[267.2525939941406, 184.01573181152344, 272.4348449707031, 188.10401916503906]]"
Speed Limit 50,0.68,"[[291.7707824707031, 197.7911834716797, 299.66583251953125, 222.44873046875]]"
Red Light,0.49,"[[275.4275817871094, 182.21636962890625, 281.80712890625, 185.61276245117188]]"
Speed Limit 60,0.25,"[[249.78277587890625, 222.25247192382812, 254.63967895507812, 227.79940795898438]]"
Speed Limit 50,0.68,"[[291.773193359375, 197.7899627685547, 299.65960693359375, 222.39292907714844]]"
Red Light,0.49,"[[275.4819641113281, 182.21902465820312, 281.8258972167969, 185.62974548339844]]"
Speed Limit 60,0.26,"[[249.77761840820312, 222.32760620117188, 254.5982666015625, 227.87506103515625]]"
Speed Limit 50,0.87,"[[312.10565185546875, 191.66116333007812, 322.78485107421875, 220.28564453125]]"
Speed Limit 60,0.45,"[[258.8829345703125, 221.5000762939453, 263.78857421875, 227.81463623046875]]"
Red Light,0.28,"[[283.3394470214844, 180.10887145996094, 289.08258056640625, 184.24072265625]]"
Speed Limit 50,0.87,"[[312.1065673828125, 191.65585327148438, 322.78948974609375, 220.26934814453125]]"
Speed Limit 60,0.45,"[[258.8731994628906, 221.4969024658203, 263.7844543457031, 227.8097686767578]]"
Red Light,0.29,"[[283.3790588378906, 180.0898895263672, 289.128662109375, 184.1996307373047]]"
Speed Limit 50,0.78,"[[337.7413330078125, 181.7267303466797, 351.56890869140625, 216.166015625]]"
Red Light,0.44,"[[291.89630126953125, 177.3422393798828, 298.4949951171875, 181.339599609375]]"
Speed Limit 60,0.46,"[[269.2760009765625, 221.8012237548828, 274.2557067871094, 229.25901794433594]]"
Speed Limit 50,0.37,"[[384.9788513183594, 157.9989776611328, 402.8905029296875, 204.35726928710938]]"
Speed Limit 60,0.46,"[[269.2752685546875, 221.79913330078125, 274.26104736328125, 229.2584228515625]]"
Speed Limit 50,0.36,"[[384.9754943847656, 157.9847869873047, 402.89239501953125, 204.35726928710938]]"
Red Light,0.25,"[[292.1726989746094, 174.95188903808594, 298.56365966796875, 179.87042236328125]]"
Speed Limit 60,0.75,"[[250.38055419921875, 220.6634063720703, 255.80551147460938, 229.41175842285156]]"
Red Light,0.66,"[[256.6131896972656, 172.9358673095703, 264.64508056640625, 177.035888671875]]"
Speed Limit 60,0.64,"[[230.27523803710938, 220.82810974121094, 236.00045776367188, 229.6175537109375]]"
Red Light,0.35,"[[226.73760986328125, 177.3258056640625, 232.75784301757812, 182.65029907226562]]"
Red Light,0.75,"[[247.51036071777344, 171.585205078125, 255.65603637695312, 175.89129638671875]]"
Red Light,0.56,"[[218.208740234375, 176.90640258789062, 224.16006469726562, 181.1570281982422]]"
Speed Limit 60,0.86,"[[197.7386932373047, 218.03041076660156, 204.56884765625, 228.57211303710938]]"
Red Light,0.46,"[[228.54696655273438, 168.25363159179688, 236.70068359375, 173.1559295654297]]"
Red Light,0.40,"[[196.14630126953125, 173.26202392578125, 202.2493438720703, 178.78616333007812]]"
Speed Limit 60,0.86,"[[197.73619079589844, 218.0281982421875, 204.55897521972656, 228.60597229003906]]"
Red Light,0.45,"[[228.00405883789062, 168.31405639648438, 236.259033203125, 173.2326202392578]]"
Red Light,0.37,"[[196.08250427246094, 173.2991485595703, 202.166259765625, 178.84970092773438]]"
Speed Limit 60,0.84,"[[185.19235229492188, 217.7019500732422, 193.12355041503906, 227.64984130859375]]"
Red Light,0.82,"[[218.1720428466797, 166.5385284423828, 226.34634399414062, 171.361083984375]]"
Red Light,0.45,"[[185.19834899902344, 171.51063537597656, 191.17347717285156, 176.90745544433594]]"
Red Light,0.76,"[[272.8585510253906, 196.5267791748047, 283.50445556640625, 203.08807373046875]]"
Red Light,0.59,"[[217.26026916503906, 193.0814971923828, 230.75439453125, 200.67916870117188]]"
Speed Limit 60,0.96,"[[172.08221435546875, 216.02252197265625, 179.5906982421875, 227.3363037109375]]"
Speed Limit 60,0.95,"[[156.9591522216797, 214.621826171875, 165.1602783203125, 227.69729614257812]]"
Red Light,0.78,"[[195.74322509765625, 161.22776794433594, 205.32875061035156, 166.41629028320312]]"
Speed Limit 60,0.94,"[[140.2791748046875, 213.15164184570312, 149.24464416503906, 226.78231811523438]]"
Red Light,0.78,"[[185.06851196289062, 158.04640197753906, 193.3947296142578, 162.7958984375]]"
Red Light,0.39,"[[147.30419921875, 160.62307739257812, 154.816162109375, 166.6593017578125]]"
Speed Limit 60,0.93,"[[125.63793182373047, 210.40841674804688, 134.4336700439453, 225.5035400390625]]"
Red Light,0.39,"[[176.39462280273438, 153.6842803955078, 185.25746154785156, 159.09181213378906]]"
Red Light,0.36,"[[137.30633544921875, 156.1713409423828, 144.56874084472656, 163.32730102539062]]"
Red Light,0.81,"[[175.46932983398438, 150.49066162109375, 185.3895263671875, 155.9842071533203]]"
Speed Limit 60,0.76,"[[117.66299438476562, 208.08815002441406, 127.24870300292969, 223.8595428466797]]"
Speed Limit 60,0.90,"[[108.87069702148438, 204.68609619140625, 118.68722534179688, 223.44969177246094]]"
Red Light,0.79,"[[174.8240509033203, 145.70835876464844, 185.9286346435547, 152.0428924560547]]"
Red Light,0.53,"[[133.99964904785156, 151.08038330078125, 142.26597595214844, 157.7794647216797]]"
Red Light,0.82,"[[305.3681335449219, 174.8126220703125, 319.5683898925781, 184.28475952148438]]"
Red Light,0.79,"[[224.55398559570312, 162.90963745117188, 245.5215606689453, 176.14244079589844]]"
Red Light,0.78,"[[175.31776428222656, 141.19679260253906, 185.59576416015625, 147.60562133789062]]"
Speed Limit 60,0.65,"[[99.29643249511719, 201.80706787109375, 109.16854858398438, 221.64808654785156]]"
Green Light,0.34,"[[206.9303436279297, 208.57899475097656, 214.23672485351562, 213.59713745117188]]"
Red Light,0.83,"[[229.4859619140625, 139.09703063964844, 255.89669799804688, 157.11529541015625]]"
Red Light,0.54,"[[322.51318359375, 161.2749481201172, 337.5419006347656, 172.8150634765625]]"
Green Light,0.36,"[[322.2360534667969, 161.37867736816406, 337.2232666015625, 172.47625732421875]]"
Red Light,0.72,"[[175.79234313964844, 136.8087158203125, 186.65223693847656, 142.6234588623047]]"
Speed Limit 60,0.48,"[[86.67623138427734, 196.4652099609375, 97.88996124267578, 221.55892944335938]]"
Green Light,0.40,"[[209.53883361816406, 208.3223419189453, 216.92225646972656, 214.13536071777344]]"
Red Light,0.72,"[[175.79635620117188, 136.8074493408203, 186.64688110351562, 142.6232452392578]]"
Speed Limit 60,0.49,"[[86.68096160888672, 196.42929077148438, 97.92837524414062, 221.53260803222656]]"
Green Light,0.42,"[[209.53814697265625, 208.3219451904297, 216.9265899658203, 214.1332244873047]]"
Red Light,0.68,"[[176.54129028320312, 130.9490509033203, 188.14678955078125, 138.0440216064453]]"
Green Light,0.59,"[[212.22906494140625, 208.4834747314453, 219.79859924316406, 213.02403259277344]]"
Red Light,0.46,"[[130.85044860839844, 139.57603454589844, 139.30459594726562, 146.03790283203125]]"
Speed Limit 60,0.45,"[[73.62510681152344, 191.4881591796875, 84.21072387695312, 218.14767456054688]]"
Speed Limit 20,0.26,"[[73.95850372314453, 191.66943359375, 84.02992248535156, 218.26107788085938]]"
Red Light,0.86,"[[236.89968872070312, 99.8748550415039, 274.326416015625, 126.1493911743164]]"
Red Light,0.72,"[[188.23260498046875, 92.18728637695312, 203.80990600585938, 101.81749725341797]]"
Red Light,0.37,"[[129.61212158203125, 114.4156723022461, 142.26243591308594, 122.48111724853516]]"
Green Light,0.29,"[[236.8150634765625, 205.53733825683594, 245.5971221923828, 211.49024963378906]]"
Green Light,0.72,"[[252.1637725830078, 204.16458129882812, 260.2314453125, 208.97158813476562]]"
Red Light,0.70,"[[196.97369384765625, 67.6878662109375, 214.30038452148438, 79.85466766357422]]"
Red Light,0.40,"[[132.04005432128906, 100.85604095458984, 144.02874755859375, 109.8343276977539]]"
Green Light,0.61,"[[267.9266357421875, 201.5843048095703, 276.83599853515625, 206.32315063476562]]"
Red Light,0.55,"[[205.32716369628906, 35.8979377746582, 225.0242462158203, 51.12874221801758]]"
Red Light,0.34,"[[133.87445068359375, 84.8976821899414, 148.01666259765625, 92.80433654785156]]"
Green Light,0.42,"[[301.0421142578125, 193.06932067871094, 309.790283203125, 197.85250854492188]]"
Green Light,0.42,"[[303.82965087890625, 191.98280334472656, 313.5832214355469, 196.6772918701172]]"
Green Light,0.63,"[[302.2475280761719, 183.1992645263672, 313.380126953125, 188.7915496826172]]"
Green Light,0.79,"[[299.99896240234375, 183.12989807128906, 310.7490234375, 188.8006591796875]]"
Green Light,0.28,"[[270.9225158691406, 218.8193817138672, 273.608642578125, 224.68853759765625]]"
Green Light,0.84,"[[296.4143371582031, 181.2938995361328, 308.8768005371094, 187.8671417236328]]"
Green Light,0.68,"[[152.24317932128906, 180.398681640625, 169.84042358398438, 190.77456665039062]]"
Green Light,0.69,"[[289.7099304199219, 178.18756103515625, 305.2454833984375, 186.02476501464844]]"
Green Light,0.60,"[[175.70677185058594, 171.7911834716797, 195.520263671875, 183.82125854492188]]"
Green Light,0.67,"[[289.7080993652344, 178.19639587402344, 305.212646484375, 186.0686798095703]]"
Green Light,0.87,"[[187.02279663085938, 164.4492645263672, 209.0705108642578, 178.44044494628906]]"
Green Light,0.74,"[[288.797607421875, 175.08448791503906, 302.6235046386719, 182.40931701660156]]"
Green Light,0.61,"[[245.52499389648438, 219.3623046875, 247.97377014160156, 225.6427459716797]]"
Green Light,0.89,"[[199.64271545410156, 155.0628204345703, 225.05523681640625, 170.41139221191406]]"
Green Light,0.90,"[[214.92208862304688, 142.55593872070312, 242.65675354003906, 160.10733032226562]]"
Green Light,0.75,"[[290.0513610839844, 169.661865234375, 305.5291748046875, 177.61920166015625]]"
Green Light,0.65,"[[240.1305694580078, 219.3451385498047, 242.81593322753906, 225.5522003173828]]"
Green Light,0.74,"[[246.16650390625, 100.27086639404297, 287.1686096191406, 128.28041076660156]]"
Speed Limit 90,0.36,"[[292.7597961425781, 221.21417236328125, 295.4099426269531, 226.67080688476562]]"
Green Light,0.72,"[[240.309326171875, 217.55418395996094, 242.88917541503906, 224.8999786376953]]"
Speed Limit 90,0.30,"[[298.59844970703125, 219.96664428710938, 302.5284729003906, 225.58538818359375]]"
Green Light,0.73,"[[240.3049774169922, 217.586181640625, 242.89141845703125, 224.91717529296875]]"
Speed Limit 90,0.32,"[[298.5938720703125, 219.95286560058594, 302.5316467285156, 225.5960235595703]]"
Green Light,0.57,"[[240.7857208251953, 217.2706298828125, 243.9213104248047, 225.09495544433594]]"
Speed Limit 90,0.35,"[[302.3632507324219, 219.64048767089844, 306.45477294921875, 225.36456298828125]]"
Green Light,0.27,"[[241.39231872558594, 217.053955078125, 244.25099182128906, 225.1314697265625]]"
Green Light,0.26,"[[241.4139862060547, 217.05810546875, 244.24725341796875, 225.10081481933594]]"
Green Light,0.28,"[[242.5819091796875, 217.65170288085938, 245.6017303466797, 224.645751953125]]"
Speed Limit 90,0.65,"[[313.3594970703125, 216.91696166992188, 317.6738586425781, 225.07501220703125]]"
Speed Limit 90,0.90,"[[318.0377197265625, 216.79852294921875, 322.3042907714844, 224.7037353515625]]"
Green Light,0.37,"[[243.6011199951172, 216.7827911376953, 247.16513061523438, 224.11485290527344]]"
Speed Limit 90,0.80,"[[322.3052978515625, 215.4549560546875, 327.0158996582031, 224.3755645751953]]"
Green Light,0.47,"[[244.16311645507812, 216.20779418945312, 247.36097717285156, 223.45436096191406]]"
Speed Limit 90,0.81,"[[322.3082580566406, 215.45773315429688, 327.01513671875, 224.35897827148438]]"
Green Light,0.46,"[[244.15890502929688, 216.21347045898438, 247.3616943359375, 223.4691162109375]]"
Speed Limit 90,0.50,"[[326.6056213378906, 215.30320739746094, 331.6196594238281, 223.09011840820312]]"
Green Light,0.48,"[[245.04518127441406, 216.2136688232422, 247.71824645996094, 222.77841186523438]]"
Stop,0.26,"[[326.81097412109375, 215.10467529296875, 331.6969299316406, 223.08985900878906]]"
Speed Limit 90,0.50,"[[326.6308288574219, 215.32040405273438, 331.61749267578125, 223.07200622558594]]"
Green Light,0.49,"[[245.0370635986328, 216.18359375, 247.71839904785156, 222.77928161621094]]"
Stop,0.25,"[[326.8304138183594, 215.11183166503906, 331.6961975097656, 223.05433654785156]]"
Green Light,0.70,"[[245.3990020751953, 215.70811462402344, 248.20970153808594, 223.14447021484375]]"
Speed Limit 90,0.41,"[[331.3221130371094, 214.3319854736328, 336.739501953125, 223.2433319091797]]"
Green Light,0.68,"[[245.92132568359375, 215.3863067626953, 249.02354431152344, 222.80465698242188]]"
Speed Limit 90,0.58,"[[336.4525451660156, 212.75462341308594, 342.5589294433594, 222.8311309814453]]"
Speed Limit 90,0.46,"[[361.2653503417969, 208.00498962402344, 367.0626525878906, 218.7146759033203]]"
Green Light,0.32,"[[248.1930389404297, 213.18385314941406, 252.41477966308594, 222.11325073242188]]"
Green Light,0.58,"[[249.21949768066406, 213.10760498046875, 252.62318420410156, 222.55331420898438]]"
Speed Limit 90,0.51,"[[367.8349609375, 206.25335693359375, 374.0798645019531, 217.1178436279297]]"
Speed Limit 50,0.38,"[[367.859130859375, 206.1978302001953, 374.0923767089844, 216.96861267089844]]"
Green Light,0.72,"[[249.71456909179688, 212.6339111328125, 253.16539001464844, 221.93663024902344]]"
Speed Limit 50,0.28,"[[375.0621337890625, 204.1468963623047, 381.76287841796875, 216.27737426757812]]"
Speed Limit 90,0.28,"[[374.94207763671875, 204.4595947265625, 381.53936767578125, 215.97476196289062]]"
Red Light,0.82,"[[110.0041275024414, 154.1839599609375, 133.73741149902344, 168.6245574951172]]"
Green Light,0.72,"[[250.1643829345703, 211.9858856201172, 254.01708984375, 221.47706604003906]]"
Green Light,0.76,"[[250.1617889404297, 211.9076385498047, 254.04226684570312, 221.55654907226562]]"
Speed Limit 90,0.32,"[[382.3111572265625, 202.3914794921875, 389.2059020996094, 214.63809204101562]]"
Red Light,0.89,"[[82.70362854003906, 130.4722900390625, 111.35957336425781, 149.72274780273438]]"
Green Light,0.48,"[[253.2813720703125, 209.13955688476562, 257.6795959472656, 220.50733947753906]]"
Green Light,0.64,"[[254.4836883544922, 208.0747833251953, 258.8294372558594, 220.06637573242188]]"
Red Light,0.44,"[[184.00250244140625, 219.3764190673828, 186.8090057373047, 226.64996337890625]]"
Speed Limit 70,0.32,"[[132.00193786621094, 222.55393981933594, 134.78775024414062, 227.39065551757812]]"
Green Light,0.64,"[[254.478759765625, 208.07440185546875, 258.8508605957031, 220.0501708984375]]"
Red Light,0.44,"[[184.00137329101562, 219.3715057373047, 186.80909729003906, 226.64234924316406]]"
Speed Limit 70,0.34,"[[131.9888916015625, 222.56594848632812, 134.7805633544922, 227.43887329101562]]"
Green Light,0.74,"[[255.28900146484375, 207.72360229492188, 259.5885009765625, 219.64854431152344]]"
Red Light,0.68,"[[182.73878479003906, 219.3381805419922, 185.3106231689453, 226.64817810058594]]"
Green Light,0.83,"[[255.8067169189453, 206.49917602539062, 260.75970458984375, 218.76158142089844]]"
Red Light,0.53,"[[181.32749938964844, 218.57130432128906, 183.91607666015625, 226.2990264892578]]"
Speed Limit 70,0.29,"[[125.1042709350586, 221.9023895263672, 128.47181701660156, 227.21018981933594]]"
Green Light,0.51,"[[257.060546875, 205.28382873535156, 262.2927551269531, 218.2589569091797]]"
Speed Limit 70,0.43,"[[121.56834411621094, 221.2549285888672, 124.86373138427734, 227.0206298828125]]"
Green Light,0.65,"[[258.02752685546875, 204.7030029296875, 263.1833190917969, 218.1504669189453]]"
Red Light,0.52,"[[177.99716186523438, 218.46046447753906, 181.0430145263672, 225.12850952148438]]"
Green Light,0.59,"[[259.69781494140625, 203.1405487060547, 264.9786682128906, 217.4194793701172]]"
Red Light,0.34,"[[176.7500457763672, 218.17881774902344, 179.63037109375, 225.84432983398438]]"
Green Light,0.63,"[[261.4609375, 201.93251037597656, 267.0266418457031, 216.5755157470703]]"
Speed Limit 70,0.62,"[[109.64895629882812, 219.66873168945312, 113.9134292602539, 226.4573211669922]]"
Green Light,0.62,"[[264.0179138183594, 200.27493286132812, 270.073486328125, 216.11622619628906]]"
Speed Limit 70,0.41,"[[106.15143585205078, 219.3401641845703, 110.48152923583984, 226.10890197753906]]"
Green Light,0.80,"[[270.28643798828125, 196.6313018798828, 276.96490478515625, 213.8654327392578]]"
Speed Limit 70,0.69,"[[98.96868896484375, 218.11952209472656, 103.57041931152344, 225.10179138183594]]"
Red Light,0.69,"[[173.68846130371094, 217.0502471923828, 176.5092010498047, 225.072021484375]]"
Green Light,0.80,"[[270.2868957519531, 196.6309051513672, 276.96514892578125, 213.8666229248047]]"
Speed Limit 70,0.70,"[[98.9673843383789, 218.11598205566406, 103.57207489013672, 225.10418701171875]]"
Red Light,0.69,"[[173.6878662109375, 217.05108642578125, 176.5090789794922, 225.07125854492188]]"
Green Light,0.77,"[[274.4312744140625, 194.72210693359375, 281.1434020996094, 212.6967315673828]]"
Red Light,0.70,"[[173.1970672607422, 216.85728454589844, 176.2395782470703, 224.54100036621094]]"
Speed Limit 70,0.60,"[[95.5554428100586, 217.65342712402344, 99.95978546142578, 224.82667541503906]]"
Red Light,0.72,"[[172.86300659179688, 215.45413208007812, 176.2326202392578, 223.67739868164062]]"
Green Light,0.68,"[[296.07537841796875, 183.8190155029297, 304.65521240234375, 206.84637451171875]]"
Red Light,0.77,"[[173.31707763671875, 215.28805541992188, 176.57691955566406, 223.42066955566406]]"
Green Light,0.58,"[[303.79779052734375, 180.5890655517578, 312.2525634765625, 204.71719360351562]]"
Red Light,0.50,"[[173.77346801757812, 213.6680908203125, 177.82240295410156, 223.14871215820312]]"
Green Light,0.46,"[[321.26446533203125, 171.0115509033203, 331.33343505859375, 198.78805541992188]]"
Red Light,0.50,"[[173.77415466308594, 213.66754150390625, 177.82086181640625, 223.14816284179688]]"
Green Light,0.46,"[[321.2608947753906, 171.0073699951172, 331.33441162109375, 198.78260803222656]]"
Speed Limit 70,0.56,"[[62.24951171875, 211.05746459960938, 68.08189392089844, 220.975830078125]]"
Green Light,0.38,"[[331.793212890625, 165.61721801757812, 342.2886657714844, 196.02899169921875]]"
Red Light,0.50,"[[175.68638610839844, 212.97520446777344, 179.62709045410156, 222.2279510498047]]"
Green Light,0.29,"[[344.0163879394531, 159.630615234375, 354.81866455078125, 191.7532958984375]]"
Red Light,0.66,"[[176.77813720703125, 212.33248901367188, 180.45437622070312, 221.98370361328125]]"
Speed Limit 70,0.48,"[[52.96398162841797, 208.82412719726562, 58.4539680480957, 218.34799194335938]]"
Speed Limit 70,0.46,"[[43.0399055480957, 206.9258575439453, 48.33930587768555, 217.18756103515625]]"
Red Light,0.35,"[[179.15185546875, 211.5365753173828, 183.3081817626953, 222.0304718017578]]"
Speed Limit 70,0.35,"[[37.71532440185547, 205.04075622558594, 43.07012176513672, 216.54151916503906]]"
Red Light,0.34,"[[180.78712463378906, 210.38604736328125, 184.91856384277344, 221.7724609375]]"
Red Light,0.74,"[[182.4667510986328, 210.0553741455078, 186.958984375, 221.32896423339844]]"
Speed Limit 70,0.58,"[[32.3802604675293, 203.76837158203125, 37.95468521118164, 214.9901580810547]]"
Red Light,0.74,"[[182.4679412841797, 210.0558624267578, 186.95533752441406, 221.32736206054688]]"
Speed Limit 70,0.59,"[[32.38043212890625, 203.769287109375, 37.955421447753906, 214.99058532714844]]"
Red Light,0.45,"[[184.27853393554688, 209.48025512695312, 188.9346923828125, 220.99652099609375]]"
Red Light,0.31,"[[186.79327392578125, 208.85415649414062, 191.23678588867188, 220.3351593017578]]"
Red Light,0.40,"[[188.52963256835938, 208.02162170410156, 193.60275268554688, 219.9283905029297]]"
Red Light,0.41,"[[188.54490661621094, 208.03273010253906, 193.59967041015625, 219.9716339111328]]"
Red Light,0.27,"[[200.79991149902344, 204.05337524414062, 206.41592407226562, 218.6752471923828]]"
Red Light,0.90,"[[232.53146362304688, 190.11444091796875, 240.5987091064453, 211.73995971679688]]"
Red Light,0.40,"[[78.6634750366211, 205.709716796875, 82.28800964355469, 214.93453979492188]]"
Red Light,0.84,"[[238.55213928222656, 186.50888061523438, 247.2919158935547, 209.85447692871094]]"
Red Light,0.84,"[[252.3885955810547, 178.7594757080078, 262.92730712890625, 205.46621704101562]]"
Red Light,0.88,"[[260.428955078125, 173.12416076660156, 272.52093505859375, 202.64564514160156]]"
Red Light,0.85,"[[269.822998046875, 166.51829528808594, 283.0208740234375, 199.4336395263672]]"
Red Light,0.78,"[[292.7323303222656, 150.26303100585938, 308.97882080078125, 189.63182067871094]]"
Red Light,0.89,"[[307.23077392578125, 138.68283081054688, 325.41839599609375, 182.4580535888672]]"
Red Light,0.54,"[[323.8939208984375, 125.07911682128906, 345.2058410644531, 174.54905700683594]]"
Green Light,0.26,"[[80.10630798339844, 201.04495239257812, 84.12996673583984, 212.0306854248047]]"
Speed Limit 80,0.46,"[[198.6307373046875, 224.15252685546875, 202.809326171875, 229.3566436767578]]"
Speed Limit 80,0.49,"[[203.25930786132812, 223.72361755371094, 207.81787109375, 229.4849853515625]]"
Speed Limit 80,0.39,"[[203.10372924804688, 223.6867218017578, 207.80702209472656, 229.464599609375]]"
Speed Limit 80,0.38,"[[208.19485473632812, 223.13626098632812, 213.19284057617188, 229.60630798339844]]"
Speed Limit 80,0.40,"[[208.28460693359375, 223.106201171875, 213.2112274169922, 229.5762939453125]]"
Speed Limit 80,0.33,"[[214.24490356445312, 222.36032104492188, 219.09458923339844, 229.14529418945312]]"
Speed Limit 80,0.45,"[[220.369873046875, 220.8845672607422, 226.292236328125, 228.7728729248047]]"
Speed Limit 80,0.37,"[[224.29908752441406, 220.8064727783203, 229.6904296875, 228.7074737548828]]"
Speed Limit 90,0.57,"[[66.66294860839844, 212.8970489501953, 71.27913665771484, 221.17709350585938]]"
Speed Limit 80,0.36,"[[228.05706787109375, 219.4606170654297, 234.1843719482422, 228.64654541015625]]"
Speed Limit 80,0.73,"[[236.8184814453125, 218.10475158691406, 244.08209228515625, 227.82276916503906]]"
Speed Limit 90,0.68,"[[62.144466400146484, 210.66563415527344, 66.94993591308594, 219.2808380126953]]"
Speed Limit 80,0.72,"[[248.02847290039062, 216.11900329589844, 255.91964721679688, 227.72259521484375]]"
Speed Limit 90,0.44,"[[57.408817291259766, 210.73338317871094, 61.63062286376953, 219.10775756835938]]"
Speed Limit 80,0.79,"[[254.45614624023438, 213.76394653320312, 263.6858825683594, 227.1885223388672]]"
Speed Limit 80,0.72,"[[271.0655212402344, 210.3719024658203, 281.8294372558594, 225.56640625]]"
Speed Limit 80,0.82,"[[281.7134704589844, 207.57882690429688, 293.22052001953125, 223.943603515625]]"
Speed Limit 90,0.47,"[[42.55159378051758, 207.4984588623047, 48.4313850402832, 217.75503540039062]]"
Speed Limit 90,0.81,"[[35.87812805175781, 206.7099151611328, 41.74170684814453, 216.61349487304688]]"
Speed Limit 80,0.80,"[[309.5508117675781, 199.8798828125, 322.1046447753906, 221.53427124023438]]"
Speed Limit 90,0.76,"[[32.646240234375, 205.20401000976562, 37.865806579589844, 215.42430114746094]]"
Speed Limit 80,0.70,"[[327.7061462402344, 194.3160400390625, 341.088134765625, 219.16949462890625]]"
Speed Limit 90,0.77,"[[32.63984298706055, 205.1878204345703, 37.88721466064453, 215.4200897216797]]"
Speed Limit 80,0.70,"[[327.72100830078125, 194.3096466064453, 341.0837707519531, 219.1650848388672]]"
Speed Limit 80,0.86,"[[350.0918884277344, 187.2591552734375, 362.8521728515625, 215.6554718017578]]"
Speed Limit 90,0.46,"[[28.408811569213867, 204.56912231445312, 34.01720428466797, 214.710693359375]]"
Speed Limit 80,0.67,"[[375.7987060546875, 177.72239685058594, 387.58233642578125, 210.84707641601562]]"
Speed Limit 90,0.58,"[[24.532976150512695, 202.63241577148438, 29.67267417907715, 214.01336669921875]]"
Speed Limit 110,0.29,"[[375.8887634277344, 177.89190673828125, 387.2074279785156, 211.14117431640625]]"
Red Light,0.90,"[[226.98828125, 202.3341522216797, 233.5070037841797, 220.05935668945312]]"
Red Light,0.82,"[[266.1961364746094, 199.3509521484375, 272.4803161621094, 218.0056915283203]]"
Green Light,0.32,"[[250.42979431152344, 217.20425415039062, 253.0364227294922, 224.96958923339844]]"
Red Light,0.81,"[[200.11013793945312, 200.7770233154297, 207.11671447753906, 219.8231201171875]]"
Red Light,0.80,"[[240.8409881591797, 199.48846435546875, 247.72177124023438, 218.4161834716797]]"
Green Light,0.28,"[[223.71600341796875, 217.70787048339844, 226.52261352539062, 225.78509521484375]]"
Red Light,0.92,"[[160.20632934570312, 196.80368041992188, 167.31031799316406, 217.57861328125]]"
Red Light,0.84,"[[204.30328369140625, 197.556640625, 211.9575958251953, 217.6987762451172]]"
Red Light,0.93,"[[202.43226623535156, 196.2316436767578, 210.35128784179688, 216.8101806640625]]"
Red Light,0.91,"[[155.83221435546875, 194.60824584960938, 163.3983154296875, 216.6127166748047]]"
Green Light,0.59,"[[183.63101196289062, 217.42681884765625, 186.6759796142578, 225.30592346191406]]"
Red Light,0.93,"[[154.34774780273438, 188.84947204589844, 163.29071044921875, 214.60580444335938]]"
Red Light,0.90,"[[208.9995574951172, 189.2545928955078, 218.2545166015625, 215.09307861328125]]"
Green Light,0.78,"[[189.37045288085938, 216.318359375, 192.52040100097656, 224.25094604492188]]"
Green Light,0.47,"[[208.5525665283203, 217.0326385498047, 211.33172607421875, 225.7420196533203]]"
Red Light,0.93,"[[208.75953674316406, 186.19139099121094, 219.32687377929688, 214.14996337890625]]"
Red Light,0.89,"[[151.05044555664062, 186.11672973632812, 160.48284912109375, 213.00872802734375]]"
Green Light,0.80,"[[188.904541015625, 215.87274169921875, 192.25555419921875, 224.94017028808594]]"
Green Light,0.47,"[[208.51107788085938, 216.4216766357422, 211.4649658203125, 225.5452423095703]]"
Red Light,0.88,"[[208.7909698486328, 182.71823120117188, 220.35421752929688, 212.72662353515625]]"
Red Light,0.88,"[[147.36708068847656, 183.2347869873047, 157.4306182861328, 211.93821716308594]]"
Green Light,0.80,"[[188.32640075683594, 215.9012451171875, 191.98812866210938, 224.7051239013672]]"
Green Light,0.55,"[[208.63414001464844, 216.36636352539062, 211.57664489746094, 225.22999572753906]]"
Red Light,0.90,"[[209.0087127685547, 179.5100555419922, 220.88343811035156, 211.54588317871094]]"
Red Light,0.86,"[[143.06558227539062, 179.5138397216797, 153.4464111328125, 210.9586181640625]]"
Green Light,0.85,"[[188.00015258789062, 215.43568420410156, 191.50025939941406, 224.72055053710938]]"
Green Light,0.67,"[[208.6222381591797, 215.97677612304688, 212.0586700439453, 225.17965698242188]]"
Red Light,0.89,"[[138.53956604003906, 176.39430236816406, 149.78860473632812, 209.1617431640625]]"
Red Light,0.87,"[[209.28163146972656, 176.05148315429688, 221.8555450439453, 210.23440551757812]]"
Green Light,0.82,"[[187.68869018554688, 215.2460479736328, 191.25265502929688, 224.96763610839844]]"
Green Light,0.57,"[[208.56906127929688, 215.6629638671875, 212.002197265625, 225.13890075683594]]"
Red Light,0.92,"[[209.8850860595703, 158.22293090820312, 226.26248168945312, 203.11965942382812]]"
Green Light,0.87,"[[208.4585418701172, 214.37557983398438, 212.25999450683594, 225.03170776367188]]"
Red Light,0.85,"[[120.2748794555664, 160.92745971679688, 133.24415588378906, 203.04983520507812]]"
Green Light,0.67,"[[186.17945861816406, 214.39796447753906, 190.09683227539062, 224.69203186035156]]"
Red Light,0.93,"[[210.8500213623047, 139.24298095703125, 231.5035400390625, 195.14210510253906]]"
Green Light,0.86,"[[208.4920196533203, 213.24801635742188, 212.37574768066406, 224.57672119140625]]"
Red Light,0.84,"[[102.68656921386719, 146.16571044921875, 118.56489562988281, 196.1744842529297]]"
